row_idx,unit_id,valid_len
0,1,149
1,2,269
2,3,206
3,4,235
4,5,154
5,6,175
6,7,174
7,8,151
8,9,199
9,10,184
10,11,271
11,12,249
12,13,227
13,14,193
14,15,209
15,16,154
16,17,180
17,18,209
18,19,163
19,20,154
20,21,189
21,22,192
22,23,211
23,24,191
24,25,205
25,26,187
26,27,176
27,28,200
28,29,151
29,30,166
30,31,343
31,32,281
32,33,195
33,34,205
34,35,196
35,36,203
36,37,210
37,38,177
38,39,214
39,40,193
40,41,262
41,42,221
42,43,211
43,44,205
44,45,151
45,46,201
46,47,246
47,48,239
48,49,168
49,50,222
50,51,293
51,52,174
52,53,148
53,54,199
54,55,159
55,56,163
56,57,140
57,58,162
58,59,194
59,60,177
60,61,218
61,62,184
62,63,168
63,64,282
64,65,206
65,66,170
66,67,145
67,68,185
68,69,136
69,70,156
70,71,194
71,72,196
72,73,239
73,74,158
74,75,231
75,76,244
76,77,185
77,78,161
78,79,181
79,80,221
80,81,288
81,82,200
82,83,170
83,84,259
84,85,347
85,86,190
86,87,170
87,88,365
88,89,188
89,90,188
90,91,245
91,92,188
92,93,189
93,94,306
94,95,198
95,96,208
96,97,145
97,98,167
98,99,202
99,100,212
100,101,211
101,102,164
102,103,280
103,104,228
104,105,303
105,106,272
106,107,145
107,108,156
108,109,220
109,110,221
110,111,200
111,112,378
112,113,232
113,114,203
114,115,206
115,116,207
116,117,177
117,118,344
118,119,174
119,120,129
120,121,210
121,122,185
122,123,226
123,124,267
124,125,168
125,126,199
126,127,256
127,128,303
128,129,202
129,130,182
130,131,280
131,132,183
132,133,159
133,134,247
134,135,294
135,136,160
136,137,148
137,138,200
138,139,194
139,140,214
140,141,163
141,142,208
142,143,166
143,144,224
144,145,251
145,146,263
146,147,207
147,148,279
148,149,289
149,150,222
150,151,177
151,152,184
152,153,292
153,154,193
154,155,226
155,156,299
156,157,237
157,158,308
158,159,241
159,160,212
160,161,224
161,162,194
162,163,203
163,164,249
164,165,165
165,166,204
166,167,232
167,168,217
168,169,185
169,170,179
170,171,258
171,172,174
172,173,151
173,174,193
174,175,202
175,176,164
176,177,181
177,178,148
178,179,181
179,180,297
180,181,255
181,182,200
182,183,207
183,184,171
184,185,162
185,186,194
186,187,168
187,188,148
188,189,209
189,190,257
190,191,219
191,192,133
192,193,172
193,194,148
194,195,190
195,196,239
196,197,154
197,198,205
198,199,219
199,200,227
200,201,191
201,202,197
202,203,269
203,204,237
204,205,198
205,206,221
206,207,184
207,208,150
208,209,201
209,210,184
210,211,214
211,212,149
212,213,196
213,214,146
214,215,226
215,216,229
216,217,162
217,218,237
218,219,156
219,220,234
220,221,178
221,222,195
222,223,218
223,224,174
224,225,156
225,226,178
226,227,184
227,228,262
228,229,176
229,230,186
230,231,144
231,232,242
232,233,190
233,234,159
234,235,183
235,236,239
236,237,209
237,238,156
238,239,263
239,240,266
240,241,183
241,242,273
242,243,230
243,244,128
244,245,253
245,246,194
246,247,197
247,248,234
248,249,202
249,250,184
250,251,266
251,252,135
252,253,149
253,254,260
254,255,340
255,256,163
256,257,309
257,258,143
258,259,205
259,260,316
